finale 	[sound:youdao-eb98c73e-add0b6bb-d50e4114-f7daf212-9852bdba.mp3]	[fɪ'nɑːlɪ; -leɪ]	n. 結局；終曲；最後一場；最後樂章；尾聲 n. (Finale)人名；(英)菲納利；(意、西)菲納萊	The Orioles rebounded to win in 10 innings on Tuesday night before coasting in the finale.			
heading 	[sound:youdao-2029fd73-912d779a-3021e6fd-f1a3ceda-5725ff1e.mp3]	['hedɪŋ]	n. 標題；（足球）頭球；信頭 v. 用頭頂（head的ing形式） n. (Heading)人名；(英)黑丁	Now the group are heading back into Ukraine, to try a different crossing point.			
vigor 	[sound:youdao-601aa5ae-0254230e-fe41a693-a480e4e6-0a202adb.mp3]	['vɪgɚ]	n. [生物] 活力，精力 n. (Vigor)人名；(英、法)維戈爾	So do strange ones, like the Vigor poster that depicts a tiger with his fangs around a tire.			
scarcity 	[sound:youdao-0a1e868e-8a4e0ce8-0ee03c22-c572dfcd-155eb80a.mp3]	['skeəsɪtɪ]	n. 不足；缺乏	Even the good spectrum proposals, however, may be hampered by overly prescriptive rules based on scarcity.			
darkened 	[sound:youdao-24d5b703-d6c6bca9-59570270-38a0327b-e631173e.mp3]	['da:kənd]	adj. 變黑的，沒有燈光的	As the sky darkened and storm clouds gathered on the horizon, our jeep turned towards home.			
stiffen 	[sound:youdao-c5acf035-066b70d5-bca29bb5-1400a03a-c9b5d03b.mp3]	['stɪf(ə)n]	vi. 變硬；變猛烈；變粘 vt. 使變硬；使粘稠	They knew that cold overnight temperatures forecast before launch would stiffen the rubber o-rings.			
quarry 	[sound:youdao-fbcb46c9-29df8f92-3e5e8588-8894a419-d3aa631e.mp3]	['kwɒrɪ]	n. 採石場；獵物；來源 vi. 費力地找 vt. 挖出；努力挖掘 n. (Quarry)人名；(英)誇裡	The Mountsorrel quarry donated ballast and the charity bought second-hand track from Network Rail.			
pediatrician 	[sound:youdao-e3085926-8133f78e-7c4287be-d9b99b5e-60a3b41b.mp3]	[ˌpiːdiə'trɪʃn]	n. 兒科醫師（等於pediatrist）	He's a Connecticut pediatrician who writes on medical issues for the online magazine Slate.			
uninsured 	[sound:youdao-aab270e4-a89203f3-31c87790-355b4203-5070b9b7.mp3]	[ʌnɪn'ʃʊəd]	adj. 未保過險的	But the number of uninsured children began to rise when welfare reform legislation took effect.			
incompetent 	[sound:youdao-8a15f2c7-a3de2ce0-83ccbfed-a4968785-4840cda4.mp3]	[ɪn'kɒmpɪt(ə)nt]	adj. 無能力的，不勝任的；不合適的；不適當的；無力的 n. 無能力者	They do this by having corrupt or incompetent people controlling access to their oilfields.			
harness 	[sound:youdao-1beb8d13-3a983fc0-cda9f5f6-68e4d555-23ce0ace.mp3]	['hɑːnɪs]	vt. 治理；套；駕馭；披上甲冑；利用 n. 馬具；甲冑；挽具狀帶子；降落傘背帶；日常工作	Given the cost of building ever larger sea walls, there is an attempt to harness Nature's own defences.			
dissipate 	[sound:youdao-c9df38bb-46faed36-75052ee8-725da34f-082225ca.mp3]	['dɪsɪpeɪt]	vt. 浪費；使…消散 vi. 驅散；放蕩	As the uncertainty and fear of investors dissipate, opportunities will bubble to the surface.			
tow 	[sound:youdao-95a0beb7-9fda5fff-4ac2eedd-2cfefa62-f040f9e9.mp3]	[təʊ]	n. 拖；麻的粗纖維；拖曳所用之繩 vt. 拖；牽引；曳 vi. 被拖帶；拖行 n. (Tow)人名；(東南亞國家華語)道	This rover can tow a variety of instrument packages to conduct glaciological and atmospheric sampling studies.			
leftover 	[sound:youdao-ff060574-f29e1731-a7be56ad-c6d33d1b-9e91c940.mp3]	['leftəʊvə]	n. 殘留物；吃剩的飯菜；剩餘物 adj. 殘餘的；吃剩的	Once the copy is done, Connerty looks to buy leftover advertising inventory on the cheap.			
