WordGod05001,cardiac,,美 ['kɑrdi.ak] &nbsp;英 ['kɑː(r)diak],n.心臟病患者；強心劑；健胃劑<br>adj.心臟的；心臟病的<br>網絡:心的；賁門；賁門的,"(1) The chambers of the heart fill to an optimal level and cardiac output increases.<br>(2) He was a Canadian communist and was also a famous cardiac surgeon .<br>(3) Cardiac muscle cells, or cardiomyocytes, are what makes the heart beat.<br>",(1) 心室逐漸達到理想水平，心臟輸出增加。<br>(2) 他是一位加拿大共產黨員，並且是著名的胸外科醫師。<br>(3) 心臟肌肉的細胞，即心肌細胞，是使心臟跳動的細胞。<br>,"<b><u>Cardiac</u></b> describes anything that's connected or related to the heart. During a <b><u>cardiac</u></b> exam, a doctor listens to your heartbeat and takes your pulse.","The adjective <b><u>cardiac</u></b> is most often used in a medical context: a doctor who operates on people's hearts is a cardiac surgeon, and an irregular heart beat is called ""<b><u>cardiac</u></b> arrhythmia."" It's common for both medical and non-medical people to call a heart attack ""<b><u>cardiac</u></b> arrest."" The word comes from the French <b><u>cardiaque</u></b>, which is rooted in the Greek <b><u>kardiakos</u></b>, ""pertaining to the heart,"" from <b><u>kardia</u></b>, ""heart.""",★☆☆☆☆,"<div class=""tab_content"" id=""dict_tab_101"" style=""display:block""><div class=""part_main""><div class=""collins_content""><div class=""explanation_item""><div class=""explanation_box""><span class=""item_number""><a href=""entry://#page_top"">1</a></span><span class=""explanation_label"" tid=""1_9122"">[ADJ 形容詞]</span><span class=""text_blue"">心臟的</span> <b>Cardiac</b> means relating to the heart. <span ><div class=""word_gram"" id=""word_gram_1_9122""><div ><div>&nbsp;&nbsp;[ADJ n]</div><div>&nbsp;&nbsp;[MEDICAL 醫]</div></div></div></span></div><ul><li><p class=""sentence_en"">The king was suffering from <span class=""text_blue"">cardiac</span> weakness.</p><p>國王患有心臟病。</p></li></ul></div></div></div></div>",[sound:coca20000/cardiac.mp3],
WordGod05002,cardinal,,美 ['kɑrdɪn(ə)l] &nbsp;英 ['kɑː(r)dɪn(ə)l],n.基數；樞機主教；純數；紅衣鳳頭鳥（見於北美，雄鳥為鮮紅色）<br>adj.最重要的；基本的<br>網絡:紅衣主教；主要的；深紅色,(1) Every one suspects himself of at least one of the cardinal virtues.<br>(2) Cardinal Ratzinger has been a very devout Catholic his whole life.<br>(3) Draws a closed cardinal spline defined by an array of.<br>,(1) 每個人都認為他自己至少有一種主要的品德。<br>(2) 拉辛格主教一生都是位虔誠的天主教徒。<br>(3) 結構數組定義的閉合基數樣條。<br>,"In Catholicism, a <b><u>cardinal</u></b> is a high-ranking bishop. In math, you use <b><u>cardinal</u></b> numbers to count. A <b><u>cardinal</u></b> rule is one that is central and should not be broken.","Okay, that's a lot of definitions. How exactly are they related? In all cases, <b><u>cardinal</u></b> means central or essential. It's a cardinal principle that you use it to describe words of behavior like rule or sin. In the Church, cardinals form the central governing body, and in math the cardinal numbers (one, two, three) are the numbers you learn and use first.",★★☆☆☆,"<div class=""tab_content"" id=""dict_tab_101"" style=""display:block""><div class=""part_main""><div class=""collins_content""><div class=""explanation_item""><div class=""explanation_box""><span class=""item_number""><a href=""entry://#page_top"">1</a></span><span class=""explanation_label"" tid=""1_9126"">[N-COUNT； N-TITLE 可數名詞；頭銜名詞]</span><span class=""text_blue"">(天主教的)紅衣主教，樞機主教</span> A <b>cardinal</b> is a high-ranking priest in the Catholic church. </div><ul><li><p class=""sentence_en"">In 1448, Nicholas was appointed a <span class=""text_blue"">cardinal</span>...</p><p>1448年，尼古拉斯被任命為紅衣主教。</p></li><li><p class=""sentence_en"">They were encouraged by a promise from Cardinal Winning.</p><p>紅衣主教溫寧的許諾使他們受到鼓舞。</p></li></ul></div><div class=""explanation_item""><div class=""explanation_box""><span class=""item_number""><a href=""entry://#page_top"">2</a></span><span class=""explanation_label"" tid=""2_9127"">[ADJ 形容詞]</span><span class=""text_blue"">最重要的；最主要的；基本的</span> A <b>cardinal</b> rule or quality is the one that is considered to be the most important. <span ><div class=""word_gram"" id=""word_gram_2_9127""><div ><div>&nbsp;&nbsp;[ADJ n]</div><div>&nbsp;&nbsp;[FORMAL 正式]</div></div></div></span></div><ul><li><p class=""sentence_en"">As a salesman, your <span class=""text_blue"">cardinal</span> rule is to do everything you can to satisfy a customer...</p><p>作為推銷員，你的首要任務是竭盡全力讓顧客滿意。</p></li><li><p class=""sentence_en"">Harmony, balance and order are <span class=""text_blue"">cardinal</span> virtues to the French.</p><p>和諧、平衡、秩序是法國人最看重的三項基本美德。</p></li></ul></div><div class=""explanation_item""><div class=""explanation_box""><span class=""item_number""><a href=""entry://#page_top"">3</a></span><span class=""explanation_label"" tid=""3_9128"">[N-COUNT 可數名詞]</span><span class=""text_blue"">主紅雀</span> A <b>cardinal</b> is a common North American bird. The male has bright red feathers. </div><ul></ul></div></div></div></div>",[sound:coca20000/cardinal.mp3],
WordGod05003,career,,美 [kə'rɪr] &nbsp;英 [kə'rɪə(r)],n.職業；事業；生涯；經歷<br>adj.〈美〉職業性質的<br>v.飛奔<br>網絡:職業生涯；工作；專業,(1) A career woman is still regarded as something of an oddity.<br>(2) Career guidance is usually offered by the Human Resources department of a company.<br>(3) Did you think at the time that would be the pinnacle of your opera career?<br>,(1) 職業婦女仍然多少被認為有點怪。<br>(2) 事業指導通常由公司的人力資源部提供。<br>(3) 你認為那個時候會是你演唱生涯的頂峰嗎？<br>,"You may have to take jobs as a dog walker, cat groomer, and fish feeder before you complete school for a <b><u>career</u></b> as a veterinarian. Small jobs in the short term give you experience for a long-term career.","<b><u>Career</u></b> comes from the French <b><u>carriere</u></b>, from an older word for ""street"" or ""road."" Staying on track for a certain career is like driving a car in one direction on a road, instead of veering in different directions. Maybe the expression ""<b><u>career</u></b> path"" is helpful in remembering that a career is something that progresses, or moves forward on a set path. It can also be used as a verb to describe something moving quickly and uncontrollably, like a car careering into a ditch.",★★★★☆,"<div class=""tab_content"" id=""dict_tab_101"" style=""display:block""><div class=""part_main""><div class=""collins_content""><div class=""explanation_item""><div class=""explanation_box""><span class=""item_number""><a href=""entry://#page_top"">1</a></span><span class=""explanation_label"" tid=""1_9157"">[N-COUNT 可數名詞]</span><span class=""text_blue"">事業；職業；生涯</span> A <b>career</b> is the job or profession that someone does for a long period of their life. </div><ul><li><p class=""sentence_en"">She is now concentrating on a <span class=""text_blue"">career</span> as a fashion designer...</p><p>她目前正專注於服裝設計師的工作。</p></li><li><p class=""sentence_en"">Dennis had recently begun a successful <span class=""text_blue"">career</span> conducting opera.</p><p>丹尼斯最近開始從事歌劇指揮的工作，並且非常成功。</p></li><li><p class=""sentence_en"">...a <span class=""text_blue"">career</span> in journalism.</p><p>新聞業工作</p></li><li><p class=""sentence_en"">...a political <span class=""text_blue"">career</span>.</p><p>政治生涯</p></li></ul></div><div class=""explanation_item""><div class=""explanation_box""><span class=""item_number""><a href=""entry://#page_top"">2</a></span><span class=""explanation_label"" tid=""2_9158"">[N-COUNT 可數名詞]</span><span class=""text_blue"">工作歲月；職業生涯</span> Your <b>career</b> is the part of your life that you spend working. </div><ul><li><p class=""sentence_en"">During his <span class=""text_blue"">career</span>, he wrote more than fifty plays...</p><p>在他的創作生涯中，他寫下了50多部劇本。</p></li><li><p class=""sentence_en"">She began her <span class=""text_blue"">career</span> as a teacher.</p><p>她開始了自己的教師生涯。</p></li></ul></div><div class=""explanation_item""><div class=""explanation_box""><span class=""item_number""><a href=""entry://#page_top"">3</a></span><span class=""explanation_label"" tid=""3_9159"">[ADJ 形容詞]</span><span class=""text_blue"">就業的；擇業的</span> <b>Careers</b> advice or guidance in British English, or <b>career</b> advice or guidance in American English, consists of information about different jobs and help with deciding what kind of job you want to do. <span ><div class=""word_gram"" id=""word_gram_3_9159""><div ><div>&nbsp;&nbsp;[ADJ n]</div></div></div></span></div><ul><li><p class=""sentence_en"">She received very little <span class=""text_blue"">career</span>s guidance when young...</p><p>她年輕時基本沒有接受過就業指導。</p></li><li><p class=""sentence_en"">Get hold of the company list from your <span class=""text_blue"">career</span>s advisory service.</p><p>到就業指導處領取企業名錄。</p></li></ul></div><div class=""explanation_item""><div class=""explanation_box""><span class=""item_number""><a href=""entry://#page_top"">4</a></span><span class=""explanation_label"" tid=""4_9160"">[VERB 動詞]</span><span class=""text_blue"">(人、車輛失控地)猛衝，疾駛</span> If a person or vehicle <b>careers</b> somewhere, they move fast and in an uncontrolled way. <span ><div class=""word_gram"" id=""word_gram_4_9160""><div ><div>&nbsp;&nbsp;[V prep/adv]</div><div>&nbsp;&nbsp;[oft cont]</div></div></div></span></div><ul><li><p class=""sentence_en"">His car <span class=""text_blue"">career</span>ed into a river...</p><p>他的車一頭衝入河裡。</p></li><li><p class=""sentence_en"">He went <span class=""text_blue"">career</span>ing off down the track.</p><p>他控制不住，衝出了賽道。</p></li></ul></div></div></div></div>",[sound:coca20000/career.mp3],
WordGod05004,cargo,,美 ['kɑrɡoʊ] &nbsp;英 ['kɑː(r)ɡəʊ],n.（船或飛機裝載的）貨物<br>網絡:船貨；太空運輸；貨運,"(1) The cargo included science equipment, extra parts, clothing and a year's supply of food.<br>(2) A large cargo plane split in two while trying to take off a Brussels airport in Belgium.<br>(3) The cargo of every Bill of lading must be separated.<br>",(1) 貨物包括科學儀器，多餘的部分，服裝和一年的糧食供應。<br>(2) 一架大型貨機在比利時布魯塞爾機場起飛的時候裂成兩半。<br>(3) 每張提單的貨必須隔開。<br>,"<b><u>Cargo</u></b> refers to goods carried by a large vehicle, like a plane, ship, train, or truck. See a giant truck on the highway piled high with boxes, lumber, or new cars? It's carrying <b><u>cargo</u></b>.","<b><u>Cargo</u></b> originates from the Latin word <b><u>carricare</u></b> which means ""to load on a cart, or wagon."" Cargo can be loaded on a cart, but it's usually loaded on something much bigger. On a ship, cargo is stacked up in huge, colorful metal containers. These containers can be full of all types of cargo, like food, furniture, or electronics. You'll rarely need the plural, but it's formed by adding an -s or more commonly, an -es (<b><u>cargoes</u></b>).",★★☆☆☆,"<div class=""tab_content"" id=""dict_tab_101"" style=""display:block""><div class=""part_main""><div class=""collins_content""><div class=""explanation_item""><div class=""explanation_box""><span class=""item_number""><a href=""entry://#page_top"">1</a></span><span class=""explanation_label"" tid=""1_9189"">[N-VAR 可變名詞]</span><span class=""text_blue"">(輪船、飛機所裝載的)貨物</span> The <b>cargo</b> of a ship or plane is the goods that it is carrying. <span ><div class=""word_gram"" id=""word_gram_1_9189""><div ><div>&nbsp;&nbsp;[oft N <l>of</l> n]</div></div></div></span></div><ul><li><p class=""sentence_en"">The boat calls at the main port to load its regular <span class=""text_blue"">cargo</span> of bananas.</p><p>船停靠這個主要港口以裝載其常規貨物——香蕉。</p></li><li><p class=""sentence_en"">...<span class=""text_blue"">cargo</span> planes.</p><p>貨運飛機</p></li></ul></div></div></div></div>",[sound:coca20000/cargo.mp3],
WordGod05005,caribou,,美 ['kerə.bu] &nbsp;英 ['karəbuː],n.北美馴鹿<br>網絡:卡裡布；北美產馴鹿；美洲馴鹿,(1) Fish and caribou are next in importance in their economy.<br>(2) Male caribou start to grow antlers every spring; a transformation from bald to bedecked.<br>(3) Okay! Look like we're eating caribou tonight boys!<br>,(1) 魚和馴鹿是未來經濟的重要性。<br>(2) 雄馴鹿每年春天開始長角，從禿頂到過分裝飾的轉換。<br>(3) 好吧！看來我們今晚有馴鹿吃了<br>,"A <b><u>caribou</u></b> is a large animal with four legs, hooves, and big antlers. In Europe and Asia, a <b><u>caribou</u></b> is known as a reindeer.","In North America, caribou live in parts of Canada and Alaska, in both tundra and boreal forests. Many caribou migrate long distances, and all of them are herbivores, living to a great degree on a specific type of lichen. The word <b><u>caribou</u></b> is originally French Canadian, from the Micmac word <b><u>kaleboo</u></b>, ""the one who paws,"" for the way caribou scratch the snow aside to find moss in the winter.",☆☆☆☆☆,"<div class=""tab_content"" id=""dict_tab_101"" style=""display:block""><div class=""part_main""><div class=""collins_content""><div class=""explanation_item""><div class=""explanation_box""><span class=""item_number""><a href=""entry://#page_top"">1</a></span><span class=""explanation_label"" tid=""1_9192"">[N-COUNT 可數名詞]</span><span class=""text_blue"">北美馴鹿</span> A <b>caribou</b> is a large north American deer. </div><ul></ul></div></div></div></div>",[sound:coca20000/caribou.mp3],
WordGod05006,caricature,,美 ['kerɪkə.tʃʊr] &nbsp;英 ['karɪkətjʊə(r)],n.人物漫畫；誇張的描述；漫畫藝術；漫畫手法<br>v.把…畫成漫畫；滑稽地描述<br>網絡:諷刺畫；諷刺漫畫；用漫畫表現,"(1) Moreover, she overstates her case, almost to the point of caricature.<br>(2) in his caricature , he burlesqued the mannerisms of his adversary.<br>(3) from zigong , like to play flute and piano , to be good at garment design and caricature invention.<br>",(1) 此外，她誇大了事例，差不多到了是在畫漫畫的程度。<br>(2) 他用漫畫嘲弄他的對手矯揉造作的習氣。<br>(3) 來自自貢，愛好長笛和鋼琴演奏。擅長服裝設計和漫畫創作。<br>,"A <b><u>caricature</u></b> is a satirical, exaggerated portrayal of person. You'd better not <b><u>caricature</u></b> your father by walking bent-over and speaking in his high voice. If he catches you, you'll be in trouble!","An exaggeration of a person's character results in a <b><u>caricature</u></b>. While this might help you to remember it's meaning, don't let the spelling confuse you. <b><u>Character</u></b> has an ""h"" but <b><u>caricature</u></b> does not. If you're so excited about something that you feel a little out of control, you might seem like a caricature of yourself to your friends. You can use this word as a verb too. Presidents and other prominent politicians are often caricatured in political cartoons.",★☆☆☆☆,"<div class=""tab_content"" id=""dict_tab_101"" style=""display:block""><div class=""part_main""><div class=""collins_content""><div class=""explanation_item""><div class=""explanation_box""><span class=""item_number""><a href=""entry://#page_top"">1</a></span><span class=""explanation_label"" tid=""1_9193"">[N-COUNT 可數名詞]</span><span class=""text_blue"">漫畫；諷刺畫；誇張性（或諷刺性）描述</span> A <b>caricature of</b> someone is a drawing or description of them that exaggerates their appearance or behaviour in a humorous or critical way. <span ><div class=""word_gram"" id=""word_gram_1_9193""><div ><div>&nbsp;&nbsp;[oft N <l>of</l> n]</div></div></div></span></div><ul><li><p class=""sentence_en"">The poster showed a <span class=""text_blue"">caricature</span> of Hitler with a devil's horns and tail...</p><p>海報漫畫中的希特勒長著魔鬼的犄角和尾巴。</p></li><li><p class=""sentence_en"">The Spanish Steps were crowded with the sellers of grotesque <span class=""text_blue"">caricature</span>s.</p><p>西班牙階梯上擠滿了出售荒誕漫畫的人。</p></li></ul></div><div class=""explanation_item""><div class=""explanation_box""><span class=""item_number""><a href=""entry://#page_top"">2</a></span><span class=""explanation_label"" tid=""2_9194"">[VERB 動詞]</span><span class=""text_blue"">把…畫成漫畫；用諷刺性手法描述；誇大</span> If you <b>caricature</b> someone, you draw or describe them in an exaggerated way in order to be humorous or critical. <span ><div class=""word_gram"" id=""word_gram_2_9194""><div ><div>&nbsp;&nbsp;[V n]</div><div>&nbsp;&nbsp;[<l>be</l> V-ed <l>as</l> n]</div><div>&nbsp;&nbsp;[Also V n <l>as</l> n]</div></div></div></span></div><ul><li><p class=""sentence_en"">Her political career has been <span class=""text_blue"">caricature</span>d in headlines...</p><p>她的政治生涯在頭條新聞裡遭到誇張嘲弄。</p></li><li><p class=""sentence_en"">He was <span class=""text_blue"">caricature</span>d as a turnip.</p><p>在漫畫裡他被畫成了一棵大頭菜。</p></li></ul></div><div class=""explanation_item""><div class=""explanation_box""><span class=""item_number""><a href=""entry://#page_top"">3</a></span><span class=""explanation_label"" tid=""3_9195"">[N-COUNT 可數名詞]</span><span class=""text_blue"">誇大；誇張</span> If you describe something as a <b>caricature of</b> an event or situation, you mean that it is a very exaggerated account of it. <span ><div class=""word_gram"" id=""word_gram_3_9195""><div ><div>&nbsp;&nbsp;[usu N <l>of</l> n]</div><div>&nbsp;&nbsp;[disapproval]</div></div></div></span></div><ul><li><p class=""sentence_en"">Hall is angry at what he sees as a <span class=""text_blue"">caricature</span> of the training offered to modern-day social workers.</p><p>在霍爾看來，當代社會工作者所受的培訓被大肆誇大，他感到很氣憤。</p></li></ul></div></div></div></div>",[sound:coca20000/caricature.mp3],
WordGod05007,carnation,,美 [kɑːˈneɪʃən] &nbsp;英,n.香石竹；【植】康乃馨；麝香石竹；淡紅色<br>adj.淡紅色的；肉色的<br>網絡:紅色康乃馨；康乃馨公司,"(1) The pink carnation: Wish mother to be beautiful young forever.<br>(2) The Pink Carnation: Pray forever young and beautiful mother.<br>(3) carnation (stripped) - no! , refusal, sorry i can't be with you.<br>",(1) 粉色康乃馨：祝母親永遠美麗，年輕。<br>(2) 粉色康乃馨：祈祝母親永遠美麗年輕。<br>(3) 康乃馨（有斑紋）-不！拒絕，我不能和你在一起。<br>,,,★☆☆☆☆,"<div class=""tab_content"" id=""dict_tab_101"" style=""display:block""><div class=""part_main""><div class=""collins_content""><div class=""explanation_item""><div class=""explanation_box""><span class=""item_number""><a href=""entry://#page_top"">1</a></span><span class=""explanation_label"" tid=""1_9207"">[N-COUNT 可數名詞]</span><span class=""text_blue"">康乃馨</span> A <b>carnation</b> is a plant with white, pink, or red flowers. </div><ul></ul></div></div></div></div>",[sound:coca20000/carnation.mp3],
WordGod05008,carnival,,美 [ˈkɑrnɪv(ə)l] &nbsp;英 [ˈkɑː(r)nɪv(ə)l],n.狂歡節；又稱「嘉年華」；常用於美式英語；人們穿著五顏六色的衣服<br>網絡:嘉年華會；嘉華；飲宴狂歡,"(1) The last day of the carnival is always the craziest.<br>(2) Masks have always been a central feature of the Venetian carnival .<br>(3) A few days ago, our school hold a school sport carnival.<br>",(1) 嘉年華會的最後一天總是最為瘋狂。<br>(2) 面具是威尼斯狂歡節最鮮亮的特色。<br>(3) 幾天前，我們舉行了一次校運會。<br>,"If you have an annual festival going on in your neighborhood that involves live music, street vendors, and games, you could call that a <b><u>carnival</u></b>.","The word <b><u>carnival</u></b> originally referred to a public festival involving general merriment and feasting, often taking place on the street and frequently associated with a religious holiday. Later the word』s meaning broadened to refer to a traveling show that offers similar activities, like a winter carnival or a fair. Nowadays the word <b><u>carnival</u></b> is also used figuratively to refer to something characterized by raucous disorder. If, for example, your coworkers ended up heckling your CEO at a company meeting, you could describe the scene as a <b><u>carnival</u></b> (although you would most likely NOT see any cotton candy in the board room).",★★☆☆☆,"<div class=""tab_content"" id=""dict_tab_101"" style=""display:block""><div class=""part_main""><div class=""collins_content""><div class=""explanation_item""><div class=""explanation_box""><span class=""item_number""><a href=""entry://#page_top"">1</a></span><span class=""explanation_label"" tid=""1_9208"">[N-COUNT 可數名詞]</span><span class=""text_blue"">狂歡節；嘉年華會</span> A <b>carnival</b> is a public festival during which people play music and sometimes dance in the streets. </div><ul></ul></div><div class=""explanation_item""><div class=""explanation_box""><span class=""item_number""><a href=""entry://#page_top"">2</a></span><span class=""explanation_label"" tid=""2_9209"">[N-COUNT 可數名詞]</span><span class=""text_blue"">流動遊樂場；嘉年華</span> A <b>carnival</b> is a travelling show which is held in a park or field and at which there are machines to ride on, entertainments, and games. <span ><div class=""word_gram"" id=""word_gram_2_9209""><div ><div>&nbsp;&nbsp;[AM 美]</div></div></div></span></div><ul></ul></div><div class=""vExplain_s"">in BRIT, use 英國英語用 funfair</div><div class=""explanation_item""><div class=""explanation_box""><span class=""item_number""><a href=""entry://#page_top"">3</a></span><span class=""explanation_label"" tid=""3_9210"">[N-COUNT 可數名詞]</span><span class=""text_blue"">激動人心的事物的組合；五彩斑斕；八音齊奏</span> A <b>carnival of</b> something such as colours or sounds is a bright or exciting mixture of them. <span ><div class=""word_gram"" id=""word_gram_3_9210""><div ><div>&nbsp;&nbsp;[N <l>of</l> n]</div><div>&nbsp;&nbsp;[LITERARY 文]</div></div></div></span></div><ul><li><p class=""sentence_en"">The avenues lined with jacaranda trees burst into a <span class=""text_blue"">carnival</span> of purple.</p><p>大街的兩旁種著藍花楹，綻放的花朵匯成一片紫色的海洋。</p></li></ul></div></div></div></div>",[sound:coca20000/carnival.mp3],
WordGod05009,carol,,美 ['karəl] &nbsp;英 ['karəl],n.[女名]卡羅爾；頌歌；尤指聖誕頌歌；〔詩〕鳥的啼囀<br>v.歡唱；挨家挨戶地唱聖誕歌<br>網絡:卡蘿；卡蘿爾；胡涓涓,"(1) Ask her to call Carol at home after seven, please.<br>(2) Carol is no match for her mother when it comes to cooking.<br>(3) Carol's negative response meant that she did not want to go camping with them.<br>",(1) 麻煩她在七點後打電話到卡羅爾家。<br>(2) 卡羅爾在烹飪方面不是她媽媽的對手。<br>(3) 卡羅爾的否定回答表示她不想同他們去露營。<br>,"A <b><u>carol</u></b> is a religious song that's sung around Christmas time. In some towns, people who celebrate Christmas go to neighbors' houses and sing <b><u>carols</u></b>.","The most well-known carols are Christmas carols, but word applies to other religious songs as well. Various hymns and folk songs are sometimes called <b><u>carols</u></b>, and you can use the word as a verb to mean ""sing a <b><u>carol</u></b>."" In the 14th century, <b><u>carol</u></b> meant ""to sing,"" but also ""to dance in a ring,"" from the Old French <b><u>carole</u></b>, ""ring dance accompanied by singers,"" probably from the Greek <b><u>khoraules</u></b>, ""flute player who accompanies the dance.""",★☆☆☆☆,"<div class=""tab_content"" id=""dict_tab_101"" style=""display:block""><div class=""part_main""><div class=""collins_content""><div class=""explanation_item""><div class=""explanation_box""><span class=""item_number""><a href=""entry://#page_top"">1</a></span><span class=""explanation_label"" tid=""1_9217"">[N-COUNT 可數名詞]</span><span class=""text_blue"">聖誕頌歌</span> <b>Carols</b> are Christian religious songs that are sung at Christmas. </div><ul><li><p class=""sentence_en"">The singing of Christmas <span class=""text_blue"">carol</span>s is a custom derived from early dance routines of pagan origin...</p><p>唱聖誕頌歌的風俗源自異教徒早期的舞蹈儀式。</p></li><li><p class=""sentence_en"">...<span class=""text_blue"">carol</span> singers at the door.</p><p>在門口唱聖誕頌歌的人</p></li></ul></div></div></div></div>",[sound:coca20000/carol.mp3],
WordGod05010,carousel,,美 [.kerə'sel] &nbsp;英 [.karə'sel],n.（機場的）行李傳送帶<br>網絡:旋轉木馬；圓盤傳送帶；旋轉行李傳送帶,(1) One was a carousel pony inpastel pinks and purples.<br>(2) Which carousel is for the luggage from Beijing?<br>(3) The fun of carousel did not disappear when I grow up.<br>,(1) 一個是柔和的粉紫色旋轉馬。<br>(2) 從北京來的行李在哪個轉盤上？<br>(3) 旋轉木馬的樂趣並沒有隨著長大而消失。<br>,"A <b><u>carousel</u></b> is a circular, rotating amusement ride with seats for children. Do you like roller coasters or is the <b><u>carousel</u></b> more your speed?","If you』re at a carnival, a carousel probably has fake horses. But if you』re at an airport, the carousel is a conveyor belt that carries luggage (no horses). <b><u>Carousel</u></b> was originally the name of an event at tournaments of 16th century knights. In the carousel, knights would charge, full speed on ornately decorated horses, trying to put the tip of their lance through a golden ring. This carousel was inspired by Middle Eastern games witnessed by knights in the Crusades.",☆☆☆☆☆,"<div class=""tab_content"" id=""dict_tab_101"" style=""display:block""><div class=""part_main""><div class=""collins_content""><div class=""explanation_item""><div class=""explanation_box""><span class=""item_number""><a href=""entry://#page_top"">1</a></span><span class=""explanation_label"" tid=""1_9221"">[N-COUNT 可數名詞]</span><span class=""text_blue"">(機場的)行李傳送帶</span> At an airport, a <b>carousel</b> is a moving surface from which passengers can collect their luggage. </div><ul></ul></div><div class=""explanation_item""><div class=""explanation_box""><span class=""item_number""><a href=""entry://#page_top"">2</a></span><span class=""explanation_label"" tid=""2_9222"">[N-COUNT 可數名詞]</span><span class=""text_blue"">旋轉木馬</span> A <b>carousel</b> is a large circular machine with seats, often in the shape of animals or cars. People can sit on it and go round and round for fun. </div><ul></ul></div></div></div></div>",[sound:coca20000/carousel.mp3],
