WordGod06001,coach,,英 [kəʊtʃ]&nbsp;美 [koʊtʃ],n.教練；經濟艙；(火車)客車車廂；四輪馬車<br>v.指導；訓練,(1) The football coach was criticized by the local paper.<br>(2) The coach is bringing on some girls in the reserve team.<br>(3) Only soft drinks are complimentary in coach.<br>(4) The coach was full so a relief was put on.<br>(5) The coach bears the royal coat of arms.<br>(6) Mr.White will coach our team for the boat race.<br>,"(1) 這位足球教練受到了當地報紙的批評。<br>(2) 教練正教導預備隊的女孩們練球。<br>(3) 在經濟艙內,只有軟性飲料是免費的。<br>(4) 長途汽車已滿員，所以增開了一輛。<br>(5) 這輛大馬車上有王室的盾形紋章。<br>(6) 懷特先生要來訓練我們隊以備戰划船比賽。<br>","Nowadays, we mostly think of a <b><u>coach</u></b> as someone who trains a team, but it can also refer to a vehicle, such as a horse-drawn <b><u>coach</u></b> or <b><u>coach</u></b> bus (the kind with a bathroom in the back).","The first meaning of <b><u>coach</u></b> was in the mid-16th Century for a carriage, probably named for <b><u>Kocs</u></b>, the Hungarian village where they were first made and called <b><u>kocsi</u></b>. In the mid-19th Century, the name was given to railway cars, and nowadays the least expensive travel class is described as ""coach."" It's thought that the idea of a coach as a teacher came about because of the idea that a <b><u>coach</u></b> ""carries"" a student to success through his or her teaching.",★★★★☆,"<div class=""tab_content"" id=""dict_tab_101"" style=""display:block""><div class=""part_main""><div class=""collins_content""><div class=""explanation_item""><div class=""explanation_box""><span class=""item_number""><a href=""entry://#page_top"">1</a></span><span class=""explanation_label"" tid=""1_11433"">[N-COUNT 可數名詞]</span><span class=""text_blue"">教練</span> A <b>coach</b> is someone who trains a person or team of people in a particular sport. </div><ul><li><p class=""sentence_en"">Tony Woodcock has joined German amateur team SC Brueck as <span class=""text_blue"">coach</span>.</p><p>托尼·伍德科克加盟德國業餘隊SC布呂克隊擔任教練。</p></li></ul></div><div class=""explanation_item""><div class=""explanation_box""><span class=""item_number""><a href=""entry://#page_top"">2</a></span><span class=""explanation_label"" tid=""2_11434"">[VERB 動詞]</span><span class=""text_blue"">為…當教練；訓練；指導</span> When someone <b>coaches</b> a person or a team, they help them to become better at a particular sport. <span ><div class=""word_gram"" id=""word_gram_2_11434""><div ><div>&nbsp;&nbsp;[V n <l>to</l> n]</div><div>&nbsp;&nbsp;[V n]</div></div></div></span></div><ul><li><p class=""sentence_en"">Beckenbauer <span class=""text_blue"">coach</span>ed the West Germans to success in the World Cup final in Italy...</p><p>貝肯鮑爾執教西德隊，帶領他們在意大利世界盃決賽中獲勝。</p></li><li><p class=""sentence_en"">I had <span class=""text_blue"">coach</span>ed the Alliance team for some time.</p><p>我曾在聯盟隊擔任過一段時間的教練。</p></li></ul></div><div class=""explanation_item""><div class=""explanation_box""><span class=""item_number""><a href=""entry://#page_top"">3</a></span><span class=""explanation_label"" tid=""3_11435"">[N-COUNT 可數名詞]</span><span class=""text_blue"">(體育隊的)主教練</span> A <b>coach</b> is a person who is in charge of a sports team. <span ><div class=""word_gram"" id=""word_gram_3_11435""><div ><div>&nbsp;&nbsp;[mainly AM 主美]</div></div></div></span></div><ul></ul></div><div class=""vExplain_s"">in BRIT, usually use 英國英語通常用 manager</div><div class=""explanation_item""><div class=""explanation_box""><span class=""item_number""><a href=""entry://#page_top"">4</a></span><span class=""explanation_label"" tid=""4_11436"">[N-COUNT 可數名詞]</span><span class=""text_blue"">(棒球運動中，站在一壘或三壘附近，給其他選手信號的)跑壘指揮員</span> In baseball, a <b>coach</b> is a member of a team who stands near the first or third base, and gives signals to other members of the team who are on bases and are trying to score. <span ><div class=""word_gram"" id=""word_gram_4_11436""><div ><div>&nbsp;&nbsp;[AM 美]</div></div></div></span></div><ul></ul></div><div class=""explanation_item""><div class=""explanation_box""><span class=""item_number""><a href=""entry://#page_top"">5</a></span><span class=""explanation_label"" tid=""5_11437"">[N-COUNT 可數名詞]</span><span class=""text_blue"">(尤指輔導備考的)私人教師，輔導教師</span> A <b>coach</b> is someone who gives people special teaching in a particular subject, especially in order to prepare them for an examination. <span ><div class=""word_gram"" id=""word_gram_5_11437""><div ><div>&nbsp;&nbsp;[oft n N]</div></div></div></span></div><ul><li><p class=""sentence_en"">What you need is a drama <span class=""text_blue"">coach</span>.</p><p>你需要的是一位戲劇輔導老師。</p></li></ul></div><div class=""explanation_item""><div class=""explanation_box""><span class=""item_number""><a href=""entry://#page_top"">6</a></span><span class=""explanation_label"" tid=""6_11438"">[VERB 動詞]</span><span class=""text_blue"">給…補習；(尤指)為…輔導備考</span> If you <b>coach</b> someone, you give them special teaching in a particular subject, especially in order to prepare them for an examination. <span ><div class=""word_gram"" id=""word_gram_6_11438""><div ><div>&nbsp;&nbsp;[V n]</div></div></div></span></div><ul><li><p class=""sentence_en"">He gently <span class=""text_blue"">coach</span>ed me in French.</p><p>他為我補習法語，態度十分溫和。</p></li></ul></div><div class=""explanation_item""><div class=""explanation_box""><span class=""item_number""><a href=""entry://#page_top"">7</a></span><span class=""explanation_label"" tid=""7_11439"">[N-COUNT 可數名詞]</span><span class=""text_blue"">長途汽車；長途大巴</span> A <b>coach</b> is a large, comfortable bus that carries passengers on long journeys. <span ><div class=""word_gram"" id=""word_gram_7_11439""><div ><div>&nbsp;&nbsp;[also <l>by</l> N]</div><div>&nbsp;&nbsp;[BRIT 英]</div></div></div></span></div><ul><li><p class=""sentence_en"">As we headed back to Calais, the <span class=""text_blue"">coach</span> was badly delayed by roadworks...</p><p>返回加來時，由於道路施工，我們乘坐的長途大巴嚴重誤點。</p></li><li><p class=""sentence_en"">I hate travelling by <span class=""text_blue"">coach</span>.</p><p>我不喜歡坐長途汽車。</p></li></ul></div><div class=""vExplain_s"">in AM, use 美國英語用 bus</div><div class=""explanation_item""><div class=""explanation_box""><span class=""item_number""><a href=""entry://#page_top"">8</a></span><span class=""explanation_label"" tid=""8_11440"">[N-COUNT 可數名詞]</span><span class=""text_blue"">(火車的)旅客車廂</span> A <b>coach</b> is one of the separate sections of a train that carries passengers. <span ><div class=""word_gram"" id=""word_gram_8_11440""><div ><div>&nbsp;&nbsp;[BRIT 英]</div></div></div></span></div><ul><li><p class=""sentence_en"">The train was an elaborate affair of sixteen <span class=""text_blue"">coach</span>es.</p><p>這列火車由16節車廂組成，設計複雜精巧。</p></li></ul></div><div class=""vExplain_s"">in AM, use 美國英語用 car</div><div class=""explanation_item""><div class=""explanation_box""><span class=""item_number""><a href=""entry://#page_top"">9</a></span><span class=""explanation_label"" tid=""9_11441"">[N-COUNT 可數名詞]</span><span class=""text_blue"">四輪大馬車，公共馬車(舊時用於載客，現在英國等國仍用於慶典場合)</span> A <b>coach</b> is an enclosed vehicle with four wheels which is pulled by horses, and in which people used to travel. Coaches are still used for ceremonial events in some countries, such as Britain. </div><ul></ul></div></div></div></div>",[sound:coca20000/coach.mp3]
WordGod06002,coagulate,,,"vi. vt. (流體, 尤指血液)凝結","(1) blood had coagulated round the edges of the gash.<br> (2) adrenalin coagulates the blood.<br>(3) As the egg whites cook, they coagulate and rise to the surface…",(1) 血液在傷口周邊凝結了.<br>(2) 腎上腺素使血液凝結.,,,,,[sound:coca20000/coagulate.mp3]
WordGod06003,coalesce,,英 [ˌkəʊə'les]&nbsp;美 [ˌkoʊə'les],v.合併；聯合；接合,(1) The views of party leaders coalesced to form a coherent policy.<br>(2) I hope patriotism can coalesce under this kind of idea and express itself.<br>,(1) 黨的領導人的各種觀點已統一為一致的政策。<br>(2) 願愛國主義在這樣的理念下凝聚起來，表達出來。<br>,Waiting for a plan to come together? You're waiting for it to <b><u>coalesce</u></b>. <b><u>Coalesce</u></b> is when different elements of something join together and become one.,"In <b><u>coalesce</u></b>, you see <b><u>co-</u></b>, which should tell you the word means ""together."" The other half of the word comes from <b><u>alescere</u></b>, a Latin verb meaning ""to grow up."" So if you are trying to start up a photography club at school, once you have an advisor, some interested students and support from the administration, things will be coalescing or growing together. Another way to remember that? An adolescent is one who is growing. A lot!",☆☆☆☆☆,"<div class=""tab_content"" id=""dict_tab_101"" style=""display:block""><div class=""part_main""><div class=""collins_content""><div class=""explanation_item""><div class=""explanation_box""><span class=""item_number""><a href=""entry://#page_top"">1</a></span><span class=""explanation_label"" tid=""1_11451"">[VERB 動詞]</span><span class=""text_blue"">聯合；合併</span> If two or more things <b>coalesce</b>, they come together and form a larger group or system. <span ><div class=""word_gram"" id=""word_gram_1_11451""><div ><div>&nbsp;&nbsp;[V prep]</div><div>&nbsp;&nbsp;[V]</div><div>&nbsp;&nbsp;[FORMAL 正式]</div></div></div></span></div><ul><li><p class=""sentence_en"">Cities, if unrestricted, tend to <span class=""text_blue"">coalesce</span> into bigger and bigger conurbations...</p><p>如果不加限制，城市往往會聯合發展成越來越大的集合城市。</p></li><li><p class=""sentence_en"">His sporting and political interests <span class=""text_blue"">coalesce</span>d admirably in his writing about climbing.</p><p>他在寫登山的文章中，把自己對體育和政治的興趣完美地結合了起來。</p></li></ul></div></div></div></div>",[sound:coca20000/coalesce.mp3]
WordGod06004,coalition,,英 [ˌkəʊə'lɪʃn]&nbsp;美 [ˌkoʊə'lɪʃn],n.結合；聯合；聯盟,"(1) There is no coalition of members of the economy.<br>(2) The two parties have united to form a coalition.<br>(3) After the election, the coalition fragmented.<br>",(1) 這種經濟的各部門之間不存在聯合。<br>(2) 這兩個黨已結成聯盟。<br>(3) 選舉之後，聯盟瓦解了<br>,"A <b><u>coalition</u></b> is a group of people who join together for a common cause, like a <b><u>coalition</u></b> you form with other skateboarders who want to convince your town to build a skate park.","The noun <b><u>coalition</u></b> comes from the Latin word <b><u>coalitiō</u></b>, meaning ""to grow together."" Often, the people and groups that form coalitions have different backgrounds but come together because they share a goal. For example, parents, teachers, business owners, and city council members might form a coalition to build a teen center, just as nations that do not agree on all issues might form a coalition because they all want peace.",★★★☆☆,"<div class=""tab_content"" id=""dict_tab_101"" style=""display:block""><div class=""part_main""><div class=""collins_content""><div class=""explanation_item""><div class=""explanation_box""><span class=""item_number""><a href=""entry://#page_top"">1</a></span><span class=""explanation_label"" tid=""1_11454"">[N-COUNT 可數名詞]</span><span class=""text_blue"">聯合政府</span> A <b>coalition</b> is a government consisting of people from two or more political parties. <span ><div class=""word_gram"" id=""word_gram_1_11454""><div ><div>&nbsp;&nbsp;[oft N n]</div></div></div></span></div><ul><li><p class=""sentence_en"">Since June the country has had a <span class=""text_blue"">coalition</span> government...</p><p>從6月份起，該國一直由一個聯合政府執掌政權。</p></li><li><p class=""sentence_en"">It took five months for the <span class=""text_blue"">coalition</span> to agree on and publish a medium-term economic programme.</p><p>聯合政府花了5個月的時間才達成並公佈了一項中期經濟計劃。</p></li></ul></div><div class=""explanation_item""><div class=""explanation_box""><span class=""item_number""><a href=""entry://#page_top"">2</a></span><span class=""explanation_label"" tid=""2_11455"">[N-COUNT 可數名詞]</span><span class=""text_blue"">(政黨、社團等的)同盟，聯盟</span> A <b>coalition</b> is a group consisting of people from different political or social groups who are co-operating to achieve a particular aim. <span ><div class=""word_gram"" id=""word_gram_2_11455""><div ><div>&nbsp;&nbsp;[oft N <l>of</l> n]</div></div></div></span></div><ul><li><p class=""sentence_en"">He had been opposed by a <span class=""text_blue"">coalition</span> of about 50 civil rights, women's and Latino organizations.</p><p>大約有50個民權組織、女性社團和拉丁裔社團聯合起來反對他。</p></li></ul></div></div></div></div>",[sound:coca20000/coalition.mp3]
WordGod06005,coarse,,英 [kɔːs]&nbsp;美 [kɔːrs],adj.粗糙的；粗俗的；非精製的,"(1) The medicine powder is too coarse, keep grinding it.<br>(2) His coarse manners shocked everyone.<br>",(1) 藥面太粗了，再磨細點。<br>(2) 他的粗魯的舉止使每個人震驚。<br>,"<b><u>Coarse</u></b> can mean rough to the touch or vulgar. It's good to have <b><u>coarse</u></b> sand paper, but not good to have <b><u>coarse</u></b> manners.","Do you lick your dinner plate, wipe your nose on your sleeve, and generally behave like an oaf? No, of course not. You're the kind of person who reads online dictionaries. But if you did do any of things, you'd be coarse — that is, unrefined, boorish, and downright vulgar. <b><u>Coarse</u></b> can apply to a wide variety of things other than behavior. If something is of poor quality, cheap and inferior, it's considered coarse.",★★☆☆☆,"<div class=""tab_content"" id=""dict_tab_101"" style=""display:block""><div class=""part_main""><div class=""collins_content""><div class=""explanation_item""><div class=""explanation_box""><span class=""item_number""><a href=""entry://#page_top"">1</a></span><span class=""explanation_label"" tid=""1_11460"">[ADJ-GRADED 能被表示程度的副詞或介詞詞組修飾的形容詞]</span><span class=""text_blue"">(質地)粗的，粗糙的；粗織的</span> <b>Coarse</b> things have a rough texture because they consist of thick threads or large pieces. </div><ul><li><p class=""sentence_en"">...a jacket made of very <span class=""text_blue"">coarse</span> cloth.</p><p>粗布製成的夾克</p></li><li><p class=""sentence_en"">...a beach of <span class=""text_blue"">coarse</span> sand.</p><p>粗沙海灘</p></li></ul></div><div class=""vExplain_r""><b class=""text_blue"">coarsely</b><ul><li><p class=""sentence_en"">...<span class=""text_blue"">coarse</span>ly ground black pepper.</p><p>粗研黑胡椒粉</p></li></ul></div><div class=""explanation_item""><div class=""explanation_box""><span class=""item_number""><a href=""entry://#page_top"">2</a></span><span class=""explanation_label"" tid=""2_11462"">[ADJ-GRADED 能被表示程度的副詞或介詞詞組修飾的形容詞]</span><span class=""text_blue"">(言行)粗魯的，粗俗的</span> If you describe someone as <b>coarse</b>, you mean that he or she talks and behaves in a rude and offensive way. <span ><div class=""word_gram"" id=""word_gram_2_11462""><div ><div>&nbsp;&nbsp;[disapproval]</div></div></div></span></div><ul><li><p class=""sentence_en"">The soldiers did not bother to moderate their <span class=""text_blue"">coarse</span> humour in her presence.</p><p>她在的時候，士兵們還是照樣說粗俗的笑話，都懶得收斂。</p></li></ul></div><div class=""vExplain_r""><b class=""text_blue"">coarsely</b><ul><li><p class=""sentence_en"">The women laughed <span class=""text_blue"">coarse</span>ly at some vulgar joke.</p><p>聽到個有點下流的笑話，女人們放肆地笑了起來。</p></li></ul></div><div class=""vExplain_r""><b class=""text_blue"">coarseness</b><ul><li><p class=""sentence_en"">The <span class=""text_blue"">coarse</span>ness of her cursing amazed the workmen.</p><p>她罵人的那些粗話讓工人們大吃一驚。</p></li></ul></div></div></div></div>",[sound:coca20000/coarse.mp3]
WordGod06006,coax,,英 [kəʊks]&nbsp;美 [koʊks],v.哄；誘騙；靈巧慢慢地做,"(1) Mother ran after me, murmuring fine words to coax me.<br>(2) I've come back to coax a respectable sum of money out of an aged woman who happens also to be my mother.<br>",(1) 母親在後面小跑著，嘴裡還在不斷地說著好話哄我。<br>(2) 我回來的目的，是從一個老太婆手上誘騙一筆數目可觀的金錢，她碰巧是我母親。<br>,"When you <b><u>coax</u></b> someone, you try to convince him gently, with pleasant words and maybe a little flattery. You』ll have to be patient, as you can』t rush someone you』re trying to <b><u>coax</u></b>.","When you <b><u>coax</u></b>, you have to be nice about it – you can』t threaten or force. You put on a little charm and gently urge, so that the person or thing is happy about being coaxed. You might <b><u>coax</u></b> the runaway elephant back into the zoo by patting her gently and talking into her ear. If you wake up with a terrible bedhead, you might <b><u>coax</u></b> your hair back into place with the help of a little hair gel and a comb.",★☆☆☆☆,"<div class=""tab_content"" id=""dict_tab_101"" style=""display:block""><div class=""part_main""><div class=""collins_content""><div class=""explanation_item""><div class=""explanation_box""><span class=""item_number""><a href=""entry://#page_top"">1</a></span><span class=""explanation_label"" tid=""1_11493"">[VERB 動詞]</span><span class=""text_blue"">(用好話)勸誘，哄</span> If you <b>coax</b> someone <b>into</b> doing something, you gently try to persuade them to do it. <span ><div class=""word_gram"" id=""word_gram_1_11493""><div ><div>&nbsp;&nbsp;[V n prep]</div><div>&nbsp;&nbsp;[V n to-inf]</div><div>&nbsp;&nbsp;[Also V n]</div></div></div></span></div><ul><li><p class=""sentence_en"">After lunch, she watched, listened and <span class=""text_blue"">coax</span>ed Bobby into talking about himself...</p><p>吃過午飯，她照看著博比，聽他說話，哄他說說自己的事。</p></li><li><p class=""sentence_en"">The government <span class=""text_blue"">coax</span>ed them to give up their strike by promising them temporary residence permits.</p><p>政府承諾給他們發放暫住證，誘哄他們放棄罷工。</p></li></ul></div><div class=""explanation_item""><div class=""explanation_box""><span class=""item_number""><a href=""entry://#page_top"">2</a></span><span class=""explanation_label"" tid=""2_11494"">[VERB 動詞]</span><span class=""text_blue"">連哄帶勸地得到</span> If you <b>coax</b> something such as information out of someone, you gently persuade them to give it to you. <span ><div class=""word_gram"" id=""word_gram_2_11494""><div ><div>&nbsp;&nbsp;[V n <l>out of/from</l> n]</div></div></div></span></div><ul><li><p class=""sentence_en"">The WPC talked yesterday of her role in trying to <span class=""text_blue"">coax</span> vital information from the young victim...</p><p>昨天，這名女警談到自己在誘導年輕的受害人說出重要信息的過程中所起的作用。</p></li><li><p class=""sentence_en"">It took Louis until Easter to <span class=""text_blue"">coax</span> a grudging consent from the French King.</p><p>路易斯連哄帶騙，直到復活節才勉強得到法國國王的許可。</p></li></ul></div><div class=""explanation_item""><div class=""explanation_box""><span class=""item_number""><a href=""entry://#page_top"">3</a></span><span class=""explanation_label"" tid=""3_11495"">[VERB 動詞]</span><span class=""text_blue"">小心地擺弄(機器或裝置)</span> If you <b>coax</b> a machine or device into doing something, you make it work by operating it very slowly and gently. <span ><div class=""word_gram"" id=""word_gram_3_11495""><div ><div>&nbsp;&nbsp;[V n prep]</div></div></div></span></div><ul><li><p class=""sentence_en"">He would stride on stage then proceed to <span class=""text_blue"">coax</span> the sweetest possible sounds out of his violin...</p><p>他會大步走上舞台，然後輕輕地拉他的小提琴，奏出美妙動聽的曲調。</p></li><li><p class=""sentence_en"">He was delighted to <span class=""text_blue"">coax</span> the monoplane to 330 m.p.h.</p><p>這架單翼飛機在他的擺弄下時速達到了每小時330英里，他感到很高興。</p></li></ul></div></div></div></div>",[sound:coca20000/coax.mp3]
WordGod06007,cockroach,,英 ['kɒkrəʊtʃ]&nbsp;美 ['kɑːkroʊtʃ],n.蟑螂,(1) He finds the cockroach is grinning.<br>(2) She screamed when she found a cockroach in her bed.<br>,(1) 他發現那頭蟑螂正咧著嘴笑著。<br>(2) 她在床上找到一隻蟑螂時大聲尖叫。<br>,,,★☆☆☆☆,"<div class=""tab_content"" id=""dict_tab_101"" style=""display:block""><div class=""part_main""><div class=""collins_content""><div class=""explanation_item""><div class=""explanation_box""><span class=""item_number""><a href=""entry://#page_top"">1</a></span><span class=""explanation_label"" tid=""1_11538"">[N-COUNT 可數名詞]</span><span class=""text_blue"">蟑螂</span> A <b>cockroach</b> is a large brown insect that is sometimes found in warm places or where food is kept. </div><ul></ul></div></div></div></div>",[sound:coca20000/cockroach.mp3]
WordGod06008,cocoon,,英 [kə'kuːn]&nbsp;美 [kə'kuːn],n.繭；繭狀物<br>v.包圍；包裹,(1) Silkworms make cocoons.<br>(2) A cocoon is a kind of silk covering made by an insect.<br>(3) The children tore the cocoon open to see if there was a pupa.<br>(4) Families cocoon around the TV set most evenings.<br>,(1) 蠶做繭。<br>(2) 蠶繭是由昆蟲製造的一種由絲組成的外包層。<br>(3) 孩子們撕開蠶繭看看裡面有沒有蛹。<br>(4) 好多家庭大部分晚上都圍在電視機前看電視。<br>,"<b><u>Cocoon</u></b> means a silky web spun around the larvae of many insects; it can also mean a form a self-protection for humans. Famously, caterpillars emerge from their <b><u>cocoons</u></b> as butterflies.","For some people, their house is a <b><u>cocoon</u></b>, a cozy retreat from which they can escape the world. They cocoon themselves away for a whole weekend, reading, drinking tea, not answering email or the phone. Another word for <b><u>cocoon</u></b> is ""chrysalis,"" but only in the context of insects.",☆☆☆☆☆,"<div class=""tab_content"" id=""dict_tab_101"" style=""display:block""><div class=""part_main""><div class=""collins_content""><div class=""explanation_item""><div class=""explanation_box""><span class=""item_number""><a href=""entry://#page_top"">1</a></span><span class=""explanation_label"" tid=""1_11555"">[N-COUNT 可數名詞]</span><span class=""text_blue"">繭；(昆蟲的)卵袋</span> A <b>cocoon</b> is a covering of silky threads that the larvae of moths and other insects make for themselves before they grow into adults. </div><ul></ul></div><div class=""explanation_item""><div class=""explanation_box""><span class=""item_number""><a href=""entry://#page_top"">2</a></span><span class=""explanation_label"" tid=""2_11556"">[N-COUNT 可數名詞]</span><span class=""text_blue"">繭狀包裹物</span> If you are in a <b>cocoon of</b> something, you are wrapped up in it or surrounded by it. <span ><div class=""word_gram"" id=""word_gram_2_11556""><div ><div>&nbsp;&nbsp;[usu N <l>of</l> n]</div></div></div></span></div><ul><li><p class=""sentence_en"">He stood there in a <span class=""text_blue"">cocoon</span> of golden light.</p><p>他站在那兒，一柱金光籠罩著他。</p></li></ul></div><div class=""explanation_item""><div class=""explanation_box""><span class=""item_number""><a href=""entry://#page_top"">3</a></span><span class=""explanation_label"" tid=""3_11557"">[N-COUNT 可數名詞]</span><span class=""text_blue"">給人安全感的環境；保護層</span> If you are living in a <b>cocoon</b>, you are in an environment in which you feel protected and safe, and sometimes isolated from everyday life. <span ><div class=""word_gram"" id=""word_gram_3_11557""><div ><div>&nbsp;&nbsp;[usu N <l>of</l> n]</div></div></div></span></div><ul><li><p class=""sentence_en"">...her innocent desire to envelop her beloved in a <span class=""text_blue"">cocoon</span> of love...</p><p>她想要把心上人包裹在愛中的天真想法</p></li><li><p class=""sentence_en"">Even though we're living together we walk around in this <span class=""text_blue"">cocoon</span> of silence...</p><p>儘管我們生活在一起，但卻形同路人。</p></li><li><p class=""sentence_en"">You cannot live in a <span class=""text_blue"">cocoon</span> and overlook these facts.</p><p>你不能自己縮在套子裡而忽略這些事實。</p></li></ul></div><div class=""explanation_item""><div class=""explanation_box""><span class=""item_number""><a href=""entry://#page_top"">4</a></span><span class=""explanation_label"" tid=""4_11558"">[VERB 動詞]</span><span class=""text_blue"">把…保護起來；把…隔絕開來</span> If something <b>cocoons</b> you <b>from</b> something, it protects you or isolates you from it. <span ><div class=""word_gram"" id=""word_gram_4_11558""><div ><div>&nbsp;&nbsp;[V n <l>from/in</l> n]</div><div>&nbsp;&nbsp;[V pron-refl <l>in</l> n]</div></div></div></span></div><ul><li><p class=""sentence_en"">There is nowhere to hide when things go wrong, no organisation to <span class=""text_blue"">cocoon</span> you from blame...</p><p>如果出了問題，根本無處可躲，沒有哪個機構會庇護你，讓你免受指責。</p></li><li><p class=""sentence_en"">The playwright <span class=""text_blue"">cocoon</span>ed himself in a world of pretence.</p><p>這個劇作家與世隔絕，生活在一個虛幻的世界裡。</p></li></ul></div></div></div></div>",[sound:coca20000/cocoon.mp3]
WordGod06009,cod,,英 [kɒd]&nbsp;美 [kɑːd],n.鱈魚<br>v.哄騙；愚弄,(1) The cod was salted away for future use.<br>(2) He bought a canned cod and a sandwich as supper.<br>,(1) 鱈魚已用鹽醃起留著日後吃。<br>(2) 他買了一個鱈魚罐頭和一個三明治作晚飯。<br>,,,★☆☆☆☆,"<div class=""tab_content"" id=""dict_tab_101"" style=""display:block""><div class=""part_main""><div class=""collins_content""><div class=""explanation_item""><div class=""explanation_box""><span class=""item_number""><a href=""entry://#page_top"">1</a></span><span class=""explanation_label"" tid=""1_11561"">[N-VAR 可變名詞]</span><span class=""text_blue"">鱈魚</span> <b>Cod</b> are a type of large edible fish. </div><ul><li class=""en_tip""><b>Cod</b> is this fish eaten as food.<span class=""text_blue"">鱈魚肉</span><ul class=""vli""><li><p class=""sentence_en"">A Catalan speciality is to serve salt <span class=""text_blue"">cod</span> cold.</p><p>冷盤鹹鱈魚是加泰羅尼亞的一道特色菜。</p></li></ul></li></ul></div><div class=""explanation_item""><div class=""explanation_box""><span class=""item_number""><a href=""entry://#page_top"">2</a></span><span class=""explanation_label"" tid=""2_11562"">[ADJ 形容詞]</span><span class=""text_blue"">假的；仿真的；騙人的</span> You use <b>cod</b> to describe something which is not genuine and which is intended to deceive or amuse people by looking or sounding like the real thing. <span ><div class=""word_gram"" id=""word_gram_2_11562""><div ><div>&nbsp;&nbsp;[ADJ n]</div><div>&nbsp;&nbsp;[BRIT 英]</div></div></div></span></div><ul><li><p class=""sentence_en"">...a <span class=""text_blue"">cod</span> documentary on what animals think of living in a zoo.</p><p>講述動物如何看待動物園生活的搞笑偽紀錄片</p></li></ul></div></div></div></div>",[sound:coca20000/cod.mp3]
WordGod06010,coerce,,英 [kəʊ'ɜːs]&nbsp;美 [koʊ'ɜːrs],vt.強制；威脅,(1) You can't coerce her into obedience.<br>(2) Do you think there is any way that we can coerce them otherwise?<br>(3) His plan was to resist every effort to coerce him to the last ditch.<br>(4) The policy of the prohibition against using tortures to coerce a statement is provided clearly and definitely.<br>,(1) 你不能強制她服從。<br>(2) 你認為我們有什麼辦法強迫他們不那樣嗎?<br>(3) 他的計劃就是要同那欺凌他的力量抵抗到底。<br>(4) 嚴禁逼供信政策明確規定了公安機關及其人員在訊問過程中不得刑訊逼供。<br>,"You can bring a horse to water, but you can't make him drink. You can <b><u>coerce</u></b> — or pressure — someone to attend your office holiday party, but you can't make them have fun.","If you're at a point where you feel like you need to coerce someone into doing something, it might be more civilized to just give up. To coerce is to manipulate, use aggressive arguments, pressure unfairly, or threaten — really, this isn't very civilized behavior, is it? Handy synonyms for this verb include <b><u>force</u></b> and <b><u>pressure</u></b>. In a gangster film, you might hear a character say he ""put the squeeze"" on someone — another way of saying he coerced them.",★☆☆☆☆,"<div class=""tab_content"" id=""dict_tab_101"" style=""display:block""><div class=""part_main""><div class=""collins_content""><div class=""explanation_item""><div class=""explanation_box""><span class=""item_number""><a href=""entry://#page_top"">1</a></span><span class=""explanation_label"" tid=""1_11601"">[VERB 動詞]</span><span class=""text_blue"">強制；脅迫；迫使</span> If you <b>coerce</b> someone <b>into</b> doing something, you make them do it, although they do not want to. <span ><div class=""word_gram"" id=""word_gram_1_11601""><div ><div>&nbsp;&nbsp;[V n <l>into</l> -ing/n]</div><div>&nbsp;&nbsp;[Also V n to-inf]</div><div>&nbsp;&nbsp;[FORMAL 正式]</div></div></div></span></div><ul><li><p class=""sentence_en"">Potter had argued that the government <span class=""text_blue"">coerce</span>d him into pleading guilty...</p><p>波特辯稱是政府強迫他認罪的。</p></li><li><p class=""sentence_en"">Clark had somehow been able to <span class=""text_blue"">coerce</span> Jenny into doing whatever he told her to do.</p><p>不知是用什麼辦法，克拉克總能讓珍妮對他言聽計從。</p></li></ul></div></div></div></div>",[sound:coca20000/coerce.mp3]
