什麼是詞根	詞根是構詞的基本詞素，它與詞綴相對，並帶有主要的詞彙信息。	
詞根分為	能獨立構詞的是自由詞根，必須與其他詞素結合構詞的是粘附詞根。	
英語經歷了三個發展階段	古英語（Old English，盎格魯—撒克遜人統治）、中古英語（Middle English，使用法語與拉丁語的諾爾曼人統治）和現代英語（Modern English，歐洲文藝復興運動的影響）。	
詞綴分成兩種：	能與自由詞根結合的是派生詞綴，只能與粘附詞根結合的是原生詞綴。	
英語的主要構詞方式	有3 種：轉化、合成與派生	
零級派生=	粘附詞根+零原生詞綴 或 自由詞根+零派生詞綴	
一級派生=	粘附詞根+原生詞綴→原始派生詞或原生詞	
二級派生=	自由詞根+派生詞綴→二次派生詞	
大部分派生詞是	由粘附詞根與原生詞綴構成的原始派生詞	
英語詞根只有	單音節與雙音節兩種。從比例來看，單音節詞根占80％以上，雙音節詞根不到20％。本族語詞根中單音節的占90％左右，拉丁詞根中單音節的占90％以上，而希臘詞根中單音節的比例較低，約占30％左右。	
單音節詞根的基本模式是：	「輔音字母+元音字母+輔音字母」，如：man，vis，log 等	
構詞過程中發生的形態變化	主要有4 種：1.字母的增加，2.字母的脫落，3.字母的變更，4.連字符的使用	
派生詞中一般讀法	詞根重讀、詞綴輕讀	
自由詞根的讀音是	固定的，它等於充當自由詞根的基本單詞在詞典中的讀音	
粘附詞根讀音	在多數同根詞中都表現出相對固定的	
如果詞根在派生詞中重讀，其讀音	保持不變。這時，派生詞的讀音即等於各種詞素讀音總和。	
詞根是非重讀或次重讀音節，詞根的音值就	可能發生變化	
「詞根重讀、詞綴輕讀」例外有哪幾種4 種與前綴有關：	1.表示否定意義的派生前綴un-和non-與詞根同樣重讀；2.雙音節的前綴原生詞由動詞轉化成名詞或形容詞時，重音從詞根所在音節（第二音節）轉移到詞綴所在音節（第一音節）；3.借用的派生前綴（尤其是拉丁語源的派生前綴），為了表示其有別於同源同形的原生詞綴往往與詞根（單詞）一起重讀。；4.少數前綴在單詞中往往重讀。比較典型的有post-，self-，semi-等	
「詞根重讀、詞綴輕讀」例外有哪幾種3 種與後綴有關：	5.個別後綴總是重讀，典型的有-ee， -ese，-esque，-ette；6.有些後綴本身並不重讀，卻會使派生詞的重音發生有規則的轉移。最有代表性的是-ian，-ic，-ion 和-ity，它們總是使單詞重音落在自己的前一個音節上。7.有些派生詞重讀的例外現象並無規律可尋，只能把它歸因於歷史或習慣使然。對這些真正的「搗亂分子」，要特別予以注意。例如：`dif·fer，`com·mon，`com·fort 等。	
隱性詞按照隱性的程度，分三種情況	1.有些距離；2.本義在使用過程發生了變化。有的詞義擴大，有的縮小，有的揚升，有的貶降，有的則被用於比喻或引申；3.不但包含了詞根和詞綴的含義，還包括一定的背景知識。需要瞭解這些背景，才能理解在特定條件下才能成立的派生詞詞義。	
詞素間的制約關係	後綴＞詞根，後綴的屬性決定了派生詞的詞性；動詞詞素＞名詞詞素＞形容詞詞素＞副詞詞素。	
同源異形根現象主要出現於	拉丁動詞詞根，因為拉丁動詞有各種變化形式	
同源異形根現象輔音字母收尾的詞根，變成	以t 收尾的異形詞根,volv→volut,mov→mot	
同源異形根現象以t、d 收尾的詞根變成	以s 收尾的詞根,flect→flex,sent→sens	
術語詞綴有一個非常特殊的功能，即	一個術語前綴可以與一個術語後綴構成一個帶術語性質的單詞,aero-（空氣）+-logy（……學）→aerology n.氣象學	
術語前綴後面往往有	連接字母-o-或-i-，如：bio-，thermo-，denti-（齒）等。	
分析不同語源的粘附詞根，可以發現，（）詞根常構成一般用詞，（）詞根常構成科技術語	拉丁；希臘	
有些詞根是多義的。這主要是（）詞根，而且為數不多	拉丁動詞	
動詞詞根pend，pens 原意是()，由於把東西掛在天平上才能稱量，所以又有()的含義，又因為用天平稱量金銀來付款，又多了個(()的含義。	to hang（懸掛）;to weigh（稱量）;to pay（支付）	
詞根ag，act 既有()的意思，也有「驅使他人去做」的()之意	to do（做）;to drive（驅使）	
